epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9452,2.19218,3.74059,3.65252,1.75067,0.006,0.24324,0.00383,0.0021,0.00667,0.27027,0.00424,0.00221,1.86152,3.25692,3.60619,1.59116,4e-05,4e-05,4e-05
2,56.6797,1.8188,3.17796,3.47612,1.44075,0.00733,0.2973,0.02565,0.00957,0.00733,0.2973,0.02217,0.01353,1.64682,3.09547,3.40543,1.25185,9.802e-05,9.802e-05,9.802e-05
3,84.2757,1.50388,2.49844,3.18851,1.17257,0.01467,0.59459,0.10922,0.07949,0.014,0.56757,0.11029,0.0764,1.38002,2.33015,3.22639,1.08494,0.000153664,0.000153664,0.000153664
4,112.024,1.41123,2.23803,2.96516,1.09513,0.01867,0.75676,0.29376,0.20501,0.01933,0.78378,0.29214,0.1866,1.27601,2.07102,3.13967,1.02172,0.000206932,0.000206932,0.000206932
5,139.582,1.29705,1.92104,2.58449,1.04744,0.02133,0.86486,0.35123,0.21932,0.02133,0.86486,0.36153,0.26012,1.19992,1.84556,3.13339,1.01309,0.000257824,0.000257824,0.000257824
6,166.645,1.24284,1.83432,2.22073,1.00083,0.02333,0.94595,0.37996,0.25568,0.02067,0.83784,0.38955,0.23774,1.078,1.82291,3.08154,0.99011,0.00030634,0.00030634,0.00030634
7,193.853,1.24,1.71614,2.10439,1.04006,0.02267,0.91892,0.40244,0.23409,0.02133,0.86486,0.3777,0.23109,1.14938,1.86733,3.07698,1.00356,0.00035248,0.00035248,0.00035248
8,220.937,1.17392,1.61319,1.86863,1.02349,0.02267,0.91892,0.42899,0.25387,0.02133,0.86486,0.43462,0.29478,1.15604,2.0139,3.07014,1.01232,0.000396244,0.000396244,0.000396244
9,247.801,1.09853,1.55457,1.70205,0.96415,0.02267,0.91892,0.46688,0.28832,0.02133,0.86486,0.48689,0.35083,1.09424,1.56195,3.04388,0.98257,0.000437632,0.000437632,0.000437632
10,275.353,1.13378,1.52838,1.52859,0.99342,0.02333,0.94595,0.45668,0.29259,0.02133,0.86486,0.4378,0.32703,1.11321,1.6065,3.05883,0.9942,0.000476644,0.000476644,0.000476644
11,383.743,1.17576,1.64161,1.46074,0.99402,0.02133,0.86486,0.39857,0.27963,0.02133,0.86486,0.40721,0.30595,1.02821,1.56474,3.0766,0.9634,0.00051328,0.00051328,0.00051328
12,411.342,1.14529,1.45229,1.29673,0.98693,0.02133,0.86486,0.34986,0.25109,0.02133,0.86486,0.37215,0.28535,1.04456,1.5815,3.07003,0.96583,0.00054754,0.00054754,0.00054754
13,439.087,1.11229,1.41457,1.19785,0.98214,0.02267,0.91892,0.32015,0.22209,0.02067,0.83784,0.40934,0.29911,1.07618,1.7308,3.03773,0.9826,0.000579424,0.000579424,0.000579424
14,466.684,1.02422,1.47883,1.1354,0.95156,0.022,0.89189,0.40173,0.28712,0.02067,0.83784,0.40471,0.29033,1.01393,1.57047,2.97324,0.9757,0.000608932,0.000608932,0.000608932
15,493.98,1.02691,1.41953,1.16687,0.97712,0.02133,0.86486,0.44617,0.32624,0.02133,0.86486,0.43958,0.3199,0.9805,1.51109,2.90326,0.97003,0.000636064,0.000636064,0.000636064
16,521.255,1.0142,1.35771,1.14814,0.98416,0.022,0.89189,0.44413,0.31823,0.02067,0.83784,0.42432,0.31949,1.00556,1.61415,2.91372,0.98179,0.00066082,0.00066082,0.00066082
17,548.742,1.00839,1.36165,1.12478,0.97028,0.02333,0.94595,0.26309,0.18343,0.02133,0.86486,0.24077,0.18035,0.96987,1.67759,2.96085,0.94352,0.0006832,0.0006832,0.0006832
18,576.09,0.98236,1.44781,1.0757,0.94769,0.02267,0.91892,0.25209,0.16487,0.02133,0.86486,0.24801,0.18426,1.01096,1.50512,2.961,0.97137,0.000703204,0.000703204,0.000703204
19,603.327,0.97736,1.32062,1.09268,0.96371,0.02267,0.91892,0.28436,0.18627,0.02067,0.83784,0.29137,0.21249,0.97823,1.51984,2.90865,0.96514,0.000720832,0.000720832,0.000720832
20,630.823,0.9787,1.2757,1.08588,0.96026,0.022,0.89189,0.34693,0.24927,0.02067,0.83784,0.34652,0.26738,0.92311,1.49198,2.88463,0.97236,0.000736084,0.000736084,0.000736084
21,659.04,0.94515,1.27661,1.06744,0.96198,0.022,0.89189,0.36671,0.29249,0.02067,0.83784,0.35711,0.2922,0.93566,1.52433,2.77678,0.96649,0.00074896,0.00074896,0.00074896
22,686.536,0.89567,1.21083,1.02266,0.95204,0.02267,0.91892,0.44872,0.35164,0.02133,0.86486,0.42172,0.34404,1.00084,1.41068,2.69797,0.99317,0.00075946,0.00075946,0.00075946
23,714.23,0.93458,1.21183,1.01102,0.93699,0.02811,0.86486,0.54112,0.41005,0.02723,0.83784,0.52153,0.4265,0.98545,1.45215,2.6356,0.95289,0.000767584,0.000767584,0.000767584
24,741.567,0.95995,1.236,1.02683,0.9489,0.03776,0.83784,0.60666,0.45453,0.03532,0.78378,0.6018,0.45764,0.99786,1.47012,2.59449,0.94826,0.000773332,0.000773332,0.000773332
25,770.176,0.92902,1.32731,1.02172,0.94946,0.92656,0.34146,0.6715,0.50318,0.92656,0.34146,0.65547,0.48503,1.00855,1.53507,2.50653,0.95817,0.000776704,0.000776704,0.000776704
26,797.23,0.97711,1.24188,1.01074,0.94309,0.9254,0.24324,0.65457,0.47186,0.9254,0.24324,0.63192,0.47537,1.06747,1.54143,2.53573,0.97289,0.0007777,0.0007777,0.0007777
27,824.7,0.90832,1.17296,0.99326,0.93667,0.91843,0.30473,0.71114,0.50861,0.91787,0.30239,0.67786,0.52319,1.11498,1.66323,2.46169,0.97689,0.00077632,0.00077632,0.00077632
28,851.744,0.91001,1.16762,0.969,0.93335,0.92914,0.35457,0.71834,0.54942,0.92914,0.35457,0.68353,0.49968,1.00191,1.76726,2.30052,0.95632,0.000772564,0.000772564,0.000772564
29,878.932,0.85433,1.18392,0.9381,0.91033,0.92914,0.35457,0.71834,0.54942,0.92914,0.35457,0.68353,0.49968,1.00191,1.76726,2.30052,0.95632,0.000766432,0.000766432,0.000766432
30,906.704,0.85831,1.09342,0.93506,0.933,0.94145,0.43466,0.736,0.56905,0.94123,0.43292,0.70133,0.49695,0.99636,1.70407,2.12637,0.97337,0.000757924,0.000757924,0.000757924
31,933.627,0.85238,1.069,0.9495,0.94436,0.94026,0.42567,0.68454,0.53141,0.93987,0.42284,0.64528,0.47345,0.94778,1.48314,2.08927,0.95951,0.00074704,0.00074704,0.00074704
32,960.513,0.85096,1.09893,0.91701,0.92366,0.84581,0.40541,0.60686,0.4867,0.84581,0.40541,0.56986,0.44185,0.91451,1.4925,2.09593,0.95776,0.00073378,0.00073378,0.00073378
33,988.334,0.84313,1.07909,0.89595,0.93518,0.84581,0.40541,0.60686,0.4867,0.84581,0.40541,0.56986,0.44185,0.91451,1.4925,2.09593,0.95776,0.000718144,0.000718144,0.000718144
34,1016.47,0.81691,1.04547,0.90644,0.91239,0.65096,0.45946,0.5772,0.46481,0.85747,0.32432,0.53141,0.41457,0.95302,1.50164,2.11932,0.9661,0.0006932,0.0006932,0.0006932
35,1043.88,0.85733,1.11557,0.89199,0.91282,0.66013,0.45946,0.57153,0.46142,0.73055,0.37838,0.52932,0.41077,0.96472,1.55023,2.11874,0.96972,0.0006536,0.0006536,0.0006536
36,1071.58,0.81431,0.98825,0.87165,0.91195,0.68892,0.48649,0.6263,0.51584,0.71035,0.40541,0.5778,0.43456,0.90444,1.61591,2.02537,0.96101,0.000614,0.000614,0.000614
37,1099.43,0.82165,1.13263,0.88049,0.90027,0.68892,0.48649,0.6263,0.51584,0.71035,0.40541,0.5778,0.43456,0.90444,1.61591,2.02537,0.96101,0.0005744,0.0005744,0.0005744
38,1126.82,0.7983,1.01088,0.87214,0.91138,0.72304,0.56456,0.70183,0.57495,0.67449,0.54054,0.64509,0.47457,0.88335,1.62239,1.91395,0.9387,0.0005348,0.0005348,0.0005348
39,1178.67,0.77368,0.96256,0.83928,0.89777,0.79127,0.6149,0.75889,0.60283,0.75485,0.58277,0.70243,0.5279,0.96191,1.58355,1.8266,0.94705,0.0004952,0.0004952,0.0004952
40,1318.22,0.87849,1.16908,0.91083,0.92493,0.794,0.62162,0.75164,0.58426,0.86978,0.54161,0.70255,0.52123,0.983,1.55909,1.77242,0.95013,0.0004556,0.0004556,0.0004556
41,1345.06,0.7441,0.97383,0.86317,0.91021,0.794,0.62162,0.75164,0.58426,0.86978,0.54161,0.70255,0.52123,0.983,1.55909,1.77242,0.95013,0.000416,0.000416,0.000416
