epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,887.937,0.94979,1.14494,0.9538,0.958,0.5452,0.32432,0.45415,0.3385,0.55304,0.32432,0.44116,0.3329,1.00339,1.81046,2.34716,1.0029,0.00126896,0.00126896,0.00126896
31,918.205,0.92621,1.12164,0.9749,0.9634,0.89682,0.47016,0.70081,0.49416,0.89399,0.456,0.67805,0.50998,1.01278,1.62303,2.17004,0.98612,0.00129352,0.00129352,0.00129352
32,946.893,0.93082,1.15346,0.94305,0.94351,0.88067,0.59849,0.73399,0.55214,0.88015,0.59544,0.70446,0.50403,1.00297,1.67855,1.92992,0.97773,0.00131689,0.00131689,0.00131689
33,974.929,0.87453,1.11732,0.91285,0.93983,0.88067,0.59849,0.73399,0.55214,0.88015,0.59544,0.70446,0.50403,1.00297,1.67855,1.92992,0.97773,0.00133907,0.00133907,0.00133907
34,1007,0.85307,1.07958,0.93091,0.9262,0.74542,0.63329,0.72856,0.54999,0.70579,0.58372,0.69236,0.49734,0.98804,1.66272,1.81365,1.00346,0.0013466,0.0013466,0.0013466
35,1039.75,0.9158,1.17877,0.90825,0.93289,0.66525,0.56757,0.68313,0.51603,0.7954,0.45946,0.64642,0.48358,0.98322,1.69857,1.83649,0.9984,0.0013268,0.0013268,0.0013268
36,1070.27,0.90332,1.04159,0.88162,0.93417,0.71863,0.59459,0.712,0.5296,0.82871,0.52331,0.67498,0.49726,0.93813,1.7291,1.72345,0.99605,0.001307,0.001307,0.001307
37,1101.33,0.89779,1.19775,0.91447,0.92702,0.71863,0.59459,0.712,0.5296,0.82871,0.52331,0.67498,0.49726,0.93813,1.7291,1.72345,0.99605,0.0012872,0.0012872,0.0012872
38,1131.72,0.87656,1.08123,0.89657,0.93511,0.62103,0.64865,0.69013,0.52444,0.62441,0.56757,0.64433,0.47786,0.93955,1.86901,1.70594,0.98552,0.0012674,0.0012674,0.0012674
39,1161.36,0.86995,1.04141,0.86998,0.92841,0.65119,0.54054,0.6719,0.49196,0.61863,0.51351,0.62581,0.48207,1.04082,1.9446,1.74967,0.96788,0.0012476,0.0012476,0.0012476
40,1191.15,0.98229,1.21561,0.93635,0.95191,0.6962,0.55764,0.66506,0.483,0.73561,0.45144,0.62253,0.46957,1.02509,1.98765,1.65888,0.96566,0.0012278,0.0012278,0.0012278
41,1222.65,0.87183,1.16002,0.89511,0.92892,0.6962,0.55764,0.66506,0.483,0.73561,0.45144,0.62253,0.46957,1.02509,1.98765,1.65888,0.96566,0.001208,0.001208,0.001208
42,1256.24,0.83364,1.04532,0.86667,0.94197,0.63319,0.51321,0.65941,0.50996,0.6341,0.48649,0.60594,0.45218,0.91816,1.83772,1.51697,0.95592,0.0011882,0.0011882,0.0011882
43,1288.47,0.87298,0.99699,0.84452,0.91557,0.74277,0.72973,0.78181,0.61316,0.75559,0.72973,0.73354,0.5384,0.90719,1.67678,1.3921,0.9602,0.0011684,0.0011684,0.0011684
44,1319.04,0.86209,1.1224,0.84917,0.92682,0.90322,0.7567,0.81279,0.57552,0.90322,0.7567,0.77854,0.58333,1.07098,1.48897,1.36615,1.00027,0.0011486,0.0011486,0.0011486
45,1347.47,0.84775,1.06575,0.82043,0.92409,0.90322,0.7567,0.81279,0.57552,0.90322,0.7567,0.77854,0.58333,1.07098,1.48897,1.36615,1.00027,0.0011288,0.0011288,0.0011288
46,1375.39,0.86299,1.10234,0.81581,0.91953,0.87239,0.73928,0.80474,0.58385,0.87239,0.73928,0.77593,0.57149,1.03384,1.45036,1.26122,0.99642,0.001109,0.001109,0.001109
47,1402.73,0.83123,0.98556,0.82347,0.90664,0.8587,0.62162,0.7582,0.59105,0.8587,0.62162,0.7237,0.51913,0.90839,1.53037,1.21549,0.96577,0.0010892,0.0010892,0.0010892
48,1432.05,0.82909,1.03218,0.8546,0.93657,0.59083,0.7806,0.71779,0.56019,0.57115,0.7559,0.67592,0.48311,0.89797,1.49424,1.25453,0.95265,0.0010694,0.0010694,0.0010694
49,1459.74,0.80632,1.04808,0.83282,0.94586,0.59083,0.7806,0.71779,0.56019,0.57115,0.7559,0.67592,0.48311,0.89797,1.49424,1.25453,0.95265,0.0010496,0.0010496,0.0010496
50,1488.73,0.80864,1.03152,0.82802,0.9243,0.52206,0.70861,0.64464,0.49787,0.50214,0.68159,0.59526,0.45491,0.9729,1.36636,1.3888,0.9751,0.0010298,0.0010298,0.0010298
51,1517.61,0.81069,1.03723,0.81305,0.91555,0.57934,0.67568,0.57473,0.41583,0.48593,0.741,0.51436,0.3758,0.95675,1.30914,1.42954,0.97974,0.00101,0.00101,0.00101
